fi  fM  MHVR(fi-2)  MHVR(fi-1)  MHVR(fi)  MHVR(fi+1)  MHVR(fi+2)
1.962634  8.969039  1.491012  1.471716  1.453264  1.438916  1.454621
2.004493  8.969039  1.471716  1.453264  1.438916  1.454621  1.520345
2.047246  8.969039  1.453264  1.438916  1.454621  1.520345  1.628203
2.09091  8.969039  1.438916  1.454621  1.520345  1.628203  1.737222
2.135506  8.969039  1.454621  1.520345  1.628203  1.737222  1.806443
2.181052  8.969039  1.520345  1.628203  1.737222  1.806443  1.821846
2.227571  8.969039  1.628203  1.737222  1.806443  1.821846  1.79565
2.275081  8.969039  1.737222  1.806443  1.821846  1.79565  1.740314
2.323604  8.969039  1.806443  1.821846  1.79565  1.740314  1.660778
2.373163  8.969039  1.821846  1.79565  1.740314  1.660778  1.595119
2.423779  8.969039  1.79565  1.740314  1.660778  1.595119  1.588591
2.475474  8.969039  1.740314  1.660778  1.595119  1.588591  1.655352
2.528271  8.969039  1.660778  1.595119  1.588591  1.655352  1.793933
2.582195  8.969039  1.595119  1.588591  1.655352  1.793933  1.992598
2.637269  8.969039  1.588591  1.655352  1.793933  1.992598  2.221249
2.693517  8.969039  1.655352  1.793933  1.992598  2.221249  2.463993
2.750966  8.969039  1.793933  1.992598  2.221249  2.463993  2.695224
2.809639  8.969039  1.992598  2.221249  2.463993  2.695224  2.836734
2.869564  8.969039  2.221249  2.463993  2.695224  2.836734  2.802156
2.930767  8.969039  2.463993  2.695224  2.836734  2.802156  2.762459
2.993275  8.969039  2.695224  2.836734  2.802156  2.762459  2.850968
3.057117  8.969039  2.836734  2.802156  2.762459  2.850968  3.085656
3.12232  8.969039  2.802156  2.762459  2.850968  3.085656  3.401278
3.188914  8.969039  2.762459  2.850968  3.085656  3.401278  3.57913
3.256928  8.969039  2.850968  3.085656  3.401278  3.57913  3.53918
3.326393  8.969039  3.085656  3.401278  3.57913  3.53918  3.529514
3.397339  8.969039  3.401278  3.57913  3.53918  3.529514  3.52294
3.469798  8.969039  3.57913  3.53918  3.529514  3.52294  3.486259
3.543803  8.969039  3.53918  3.529514  3.52294  3.486259  3.567989
3.619387  8.969039  3.529514  3.52294  3.486259  3.567989  3.719497
3.696582  8.969039  3.52294  3.486259  3.567989  3.719497  3.836618
3.775424  8.969039  3.486259  3.567989  3.719497  3.836618  3.901335
3.855947  8.969039  3.567989  3.719497  3.836618  3.901335  4.019737
3.938188  8.969039  3.719497  3.836618  3.901335  4.019737  4.18171
4.022183  8.969039  3.836618  3.901335  4.019737  4.18171  4.254606
4.107969  8.969039  3.901335  4.019737  4.18171  4.254606  4.168747
4.195585  8.969039  4.019737  4.18171  4.254606  4.168747  4.118056
4.28507  8.969039  4.18171  4.254606  4.168747  4.118056  4.141059
4.376463  8.969039  4.254606  4.168747  4.118056  4.141059  4.073118
4.469806  8.969039  4.168747  4.118056  4.141059  4.073118  4.163613
4.56514  8.969039  4.118056  4.141059  4.073118  4.163613  4.381196
4.662506  8.969039  4.141059  4.073118  4.163613  4.381196  4.407007
4.76195  8.969039  4.073118  4.163613  4.381196  4.407007  3.962418
4.863514  8.969039  4.163613  4.381196  4.407007  3.962418  3.525091
4.967245  8.969039  4.381196  4.407007  3.962418  3.525091  3.31279
5.073187  8.969039  4.407007  3.962418  3.525091  3.31279  3.671371
5.18139  8.969039  3.962418  3.525091  3.31279  3.671371  3.836813
5.2919  8.969039  3.525091  3.31279  3.671371  3.836813  3.742596
5.404768  8.969039  3.31279  3.671371  3.836813  3.742596  3.811662
5.520042  8.969039  3.671371  3.836813  3.742596  3.811662  3.7939
5.637775  8.969039  3.836813  3.742596  3.811662  3.7939  3.528416
5.758019  8.969039  3.742596  3.811662  3.7939  3.528416  3.310294
5.880828  8.969039  3.811662  3.7939  3.528416  3.310294  3.475318
6.006257  8.969039  3.7939  3.528416  3.310294  3.475318  3.731554
6.13436  8.969039  3.528416  3.310294  3.475318  3.731554  4.049166
6.265195  8.969039  3.310294  3.475318  3.731554  4.049166  4.258777
6.398821  8.969039  3.475318  3.731554  4.049166  4.258777  5.404437
6.535297  8.969039  3.731554  4.049166  4.258777  5.404437  5.370876
6.674684  8.969039  4.049166  4.258777  5.404437  5.370876  6.354257
6.817044  8.969039  4.258777  5.404437  5.370876  6.354257  7.544661
6.96244  8.969039  5.404437  5.370876  6.354257  7.544661  7.367816
7.110937  8.969039  5.370876  6.354257  7.544661  7.367816  6.866745
7.262601  8.969039  6.354257  7.544661  7.367816  6.866745  7.210044
7.4175  8.969039  7.544661  7.367816  6.866745  7.210044  6.791313
7.575703  8.969039  7.367816  6.866745  7.210044  6.791313  6.098038
7.73728  8.969039  6.866745  7.210044  6.791313  6.098038  5.743903
7.902303  8.969039  7.210044  6.791313  6.098038  5.743903  6.181512
8.070846  8.969039  6.791313  6.098038  5.743903  6.181512  7.565318
8.242984  8.969039  6.098038  5.743903  6.181512  7.565318  6.475361
8.418793  8.969039  5.743903  6.181512  7.565318  6.475361  6.724508
8.598351  8.969039  6.181512  7.565318  6.475361  6.724508  7.811819
8.781739  8.969039  7.565318  6.475361  6.724508  7.811819  6.058663
8.969039  8.969039  6.475361  6.724508  7.811819  6.058663  4.912416
9.160334  8.969039  6.724508  7.811819  6.058663  4.912416  5.051848
9.355708  8.969039  7.811819  6.058663  4.912416  5.051848  5.268391
9.555249  8.969039  6.058663  4.912416  5.051848  5.268391  4.837951
9.759047  8.969039  4.912416  5.051848  5.268391  4.837951  3.906136
9.967191  8.969039  5.051848  5.268391  4.837951  3.906136  4.063257
10.179774  8.969039  5.268391  4.837951  3.906136  4.063257  3.47179
10.396892  8.969039  4.837951  3.906136  4.063257  3.47179  3.355842
10.61864  8.969039  3.906136  4.063257  3.47179  3.355842  3.314921
10.845118  8.969039  4.063257  3.47179  3.355842  3.314921  2.856733
11.076426  8.969039  3.47179  3.355842  3.314921  2.856733  2.82512
11.312667  8.969039  3.355842  3.314921  2.856733  2.82512  3.36522
11.553946  8.969039  3.314921  2.856733  2.82512  3.36522  3.927416
11.800373  8.969039  2.856733  2.82512  3.36522  3.927416  3.81495
12.052055  8.969039  2.82512  3.36522  3.927416  3.81495  3.049514
