fi,fM,MHVR(fi-2),MHVR(fi-1),MHVR(fi),MHVR(fi+1),MHVR(fi+2),AMR(fi-2),AMR(fi-1),AMR(fi),AMR(fi+1),AMR(fi+2),pSAF
0.627927,8.969039,1.330287,1.332913,1.335594,1.339138,1.3436219999999999,0.98077655,1.0249478,1.0117128,1.0141206,1.0394651,1.3512375314269065
0.64132,8.969039,1.332913,1.335594,1.339138,1.3436219999999999,1.348203,0.97964954,1.0242258,1.0102878,1.0131024,1.0392271,1.3529147326116562
0.654998,8.969039,1.335594,1.339138,1.3436219999999999,1.348203,1.352881,0.9791157,1.0238047,1.0095572,1.0122557,1.0387026,1.3564633275461195
0.668968,8.969039,1.339138,1.3436219999999999,1.348203,1.352881,1.357658,0.97843313,1.0232294,1.008651,1.0112104,1.0380312,1.3598663286130428
0.683236,8.969039,1.3436219999999999,1.348203,1.352881,1.357658,1.362538,0.9777732,1.0226663,1.0077515,1.0101931,1.0373911,1.3633678095092774
0.697808,8.969039,1.348203,1.352881,1.357658,1.362538,1.367522,0.9771073,1.0220895,1.0068293,1.0091549,1.0367332,1.3669298018894196
0.712691,8.969039,1.352881,1.357658,1.362538,1.367522,1.3726120000000002,0.97643614,1.0214993,1.0058856,1.0080965,1.0360595,1.3705573550748826
0.727892,8.969039,1.357658,1.362538,1.367522,1.3726120000000002,1.37781,0.9757602,1.0208967,1.004921,1.0070205,1.0353713,1.3742515203399657
0.743416,8.969039,1.362538,1.367522,1.3726120000000002,1.37781,1.3831200000000001,0.97508025,1.0202816,1.0039363,1.0059254,1.0346684,1.37801499990654
0.7592720000000001,8.969039,1.367522,1.3726120000000002,1.37781,1.3831200000000001,1.386989,0.9745686,1.0198344,1.0031742,1.0051174,1.0342109,1.3821834248721598
0.775466,8.969039,1.3726120000000002,1.37781,1.3831200000000001,1.386989,1.390098,0.97415614,1.0194836,1.0025505,1.0044761,1.0338998,1.3866476237010956
0.792006,8.969039,1.37781,1.3831200000000001,1.386989,1.390098,1.393273,0.9738915,1.0192871,1.0021192,1.0040706,1.0337641,1.3899282842594385
0.808898,8.969039,1.3831200000000001,1.386989,1.390098,1.393273,1.387557,0.97496676,1.0204701,1.0034525,1.0058818,1.0354745,1.3948973681759835
0.82615,8.969039,1.386989,1.390098,1.393273,1.387557,1.379075,0.9764836,1.022104,1.0054454,1.008434,1.0377936,1.400859874647975
0.8437709999999999,8.969039,1.390098,1.393273,1.387557,1.379075,1.369416,0.9789698,1.0247916,1.0087789,1.012627,1.0413322,1.399738265372157
0.8617670000000001,8.969039,1.393273,1.387557,1.379075,1.369416,1.345566,0.9850848,1.0311718,1.0166303,1.0224869,1.0494595,1.4020094198554756
0.8801469999999999,8.969039,1.387557,1.379075,1.369416,1.345566,1.321208,0.9918637,1.0382242,1.0254842,1.0334561,1.058321,1.4043144771051406
0.898919,8.969039,1.379075,1.369416,1.345566,1.321208,1.297987,1.0004611,1.0471975,1.0367912,1.0475554,1.0694146,1.395070995093584
0.918091,8.969039,1.369416,1.345566,1.321208,1.297987,1.275902,1.0124502,1.0594556,1.0519006,1.0665014,1.0842083,1.3897795212574005
0.937673,8.969039,1.345566,1.321208,1.297987,1.275902,1.25432,1.0247784,1.07198,1.0675907,1.0862024,1.099299,1.385718867444992
0.957672,8.969039,1.321208,1.297987,1.275902,1.25432,1.244837,1.0351322,1.082137,1.0801041,1.1018679,1.1110318,1.3781069975066187
0.9780969999999999,8.969039,1.297987,1.275902,1.25432,1.244837,1.2351530000000002,1.045604,1.0923246,1.0926125,1.1176093,1.1227856,1.3704857172203064
0.998958,8.969039,1.275902,1.25432,1.244837,1.2351530000000002,1.234042,1.0539916,1.1002768,1.1021677,1.1295516,1.1315829,1.3720191649867295
1.0202639999999998,8.969039,1.25432,1.244837,1.2351530000000002,1.234042,1.235403,1.059267,1.1051993,1.1081244,1.1369549,1.136781,1.3687031465784314
1.042025,8.969039,1.244837,1.2351530000000002,1.234042,1.235403,1.240492,1.0632637,1.1088524,1.1121988,1.1420289,1.1404382,1.37250006814003
1.06425,8.969039,1.2351530000000002,1.234042,1.235403,1.240492,1.248535,1.0642984,1.1096308,1.1127675,1.1426282,1.1405902,1.3747162558686734
1.086948,8.969039,1.234042,1.235403,1.240492,1.248535,1.261823,1.0635443,1.1086637,1.1109405,1.1401949,1.138532,1.3781127486286162
1.110131,8.969039,1.235403,1.240492,1.248535,1.261823,1.281563,1.0605726,1.1055031,1.1062194,1.133996,1.1335607,1.3811536521834133
1.133808,8.969039,1.240492,1.248535,1.261823,1.281563,1.303034,1.0559897,1.1008196,1.099499,1.1252949,1.1267765,1.3873731105229854
1.1579899999999999,8.969039,1.248535,1.261823,1.281563,1.303034,1.326714,1.0492392,1.0940565,1.0902199,1.1134632,1.117681,1.397185428428769
1.182688,8.969039,1.261823,1.281563,1.303034,1.326714,1.339259,1.0422559,1.087275,1.0812635,1.1024444,1.1094599,1.4089231584148407
1.207913,8.969039,1.281563,1.303034,1.326714,1.339259,1.339796,1.035799,1.0809987,1.0731301,1.0928426,1.1026328,1.4237367683115005
1.233676,8.969039,1.303034,1.326714,1.339259,1.339796,1.328759,1.0321686,1.0776415,1.0691652,1.0887847,1.1000855,1.4318891564931868
1.2599879999999999,8.969039,1.326714,1.339259,1.339796,1.328759,1.310461,1.0339952,1.079701,1.0719868,1.0933393,1.1041893,1.4362436192860604
1.2868620000000002,8.969039,1.339259,1.339796,1.328759,1.310461,1.286144,1.0409632,1.0868216,1.0812143,1.1058762,1.1141803,1.4366732436653376
1.314308,8.969039,1.339796,1.328759,1.310461,1.286144,1.260921,1.0522149,1.0980564,1.0956126,1.1248775,1.1288621,1.4357576425749066
